Performance Statistics   2019-07-11 18:36:00 - 2019-07-11 18:38:00
Tag                                                  Avg(ms)         Min         Max     Std Dev       Count
mainWindow#create                                       12,0          12          12         0,0           1
mainWindow#init                                         43,0          43          43         0,0           1
mainWindow#inject                                       24,0          24          24         0,0           1
mainWindow#load                                        442,0         442         442         0,0           1
mainWindow#uiPermissions                                 0,0           0           0         0,0           1
mainWindow#xml                                           2,5           0           5         2,5           2

Performance Statistics   2019-07-11 21:20:00 - 2019-07-11 21:22:00
Tag                                                  Avg(ms)         Min         Max     Std Dev       Count
MenuItem.utilitylibrary$UserClass.browse              2491,0        2491        2491         0,0           1
MenuItem.utilitylibrary_Status.browse                  212,0         212         212         0,0           1
editWindowActions#create                                 1,0           0           2         0,6           5
editWindowActions#xml                                    0,7           0           3         1,1          10
lookupWindowActions#create                              11,0           0          22        11,0           2
lookupWindowActions#inject                               3,0           0           6         3,0           2
lookupWindowActions#load                                 7,0           2          12         5,0           2
lookupWindowActions#xml                                  0,4           0           3         1,0          12
sec$Role.lookup#afterShow                                0,0           0           0         0,0           1
sec$Role.lookup#beforeShow                               0,0           0           0         0,0           1
sec$Role.lookup#create                                   0,0           0           0         0,0           1
sec$Role.lookup#init                                     2,0           2           2         0,0           1
sec$Role.lookup#inject                                   5,0           5           5         0,0           1
sec$Role.lookup#load                                   136,0         136         136         0,0           1
sec$Role.lookup#uiPermissions                            0,0           0           0         0,0           1
sec$Role.lookup#xml                                      8,4           0          42        16,8           5
sec$Role.lookup.lookupWindowActions#init                 0,0           0           0         0,0           1
sec$Role.lookup@rolesDs                                 17,0          17          17         0,0           1
sec$User.browse#afterShow                                9,0           9           9         0,0           1
sec$User.browse#beforeShow                               0,0           0           0         0,0           1
sec$User.browse#create                                  31,0          31          31         0,0           1
sec$User.browse#init                                    12,0          12          12         0,0           1
sec$User.browse#inject                                  19,0          19          19         0,0           1
sec$User.browse#load                                  1177,0        1177        1177         0,0           1
sec$User.browse#uiPermissions                            0,0           0           0         0,0           1
sec$User.browse#xml                                      7,5           0          15         7,5           2
sec$User.browse.lookupWindowActions#init                 0,0           0           0         0,0           1
sec$User.browse@usersDs                                869,0         869         869         0,0           1
sec$User.edit#afterShow                                  0,0           0           0         0,0           4
sec$User.edit#beforeShow                                 0,0           0           0         0,0           4
sec$User.edit#companion                                  2,8           0           7         2,6           4
sec$User.edit#create                                     1,0           0           4         1,7           4
